"1","TSD","http://units.systems/tsd/fire-axe/","fire-axe","FIRE AXE","Weap","The perfect tool for getting up close and personal with devastating impact.","""What a way to make an entrance!"""
"2","TSD","http://units.systems/tsd/matches/","matches","MATCHES","Surv","Wood, phosphorus and a frictional surface combine to quickly reproduce one of mankind's greatest achievements over and over again.","""Keep 'em secret, keep 'em safe."""
"3","TSD","http://units.systems/tsd/glock-18c/","glock-18c","GLOCK 18C","Weap","A reliable handgun popular with law enforcement and military elite. Boasting a full auto mode that fires 1,200 rounds per minute. This pistol is non-negotiable 9 mm authority.","""Is that a machine pistol in your pocket?"""
"4","TSD","http://units.systems/tsd/first-aid-kit/","first-aid-kit","FIRST AID KIT","Surv","Kit of preparedness to treat most common ailments and wounds.","""Medic!!"""
"5","TSD","http://units.systems/tsd/sw-44-snub-nose/","sw-44-snub-nose","S&W .44 SNUB NOSE","Weap","A classic revolver that gained its reputation due to its precision and power. It hardly ever misfires, and can quickly be concealed in a pocket or waistband.","""The gut buster."""
"6","TSD","http://units.systems/tsd/kalashnikov-ak47-762mm/","kalashnikov-ak47-762mm","KALASHNIKOV AK-47 (7.62mm)","Weap","Instantly recognized by its wooden stock and banana shaped magazine, this simple yet dependable weapon is the archetypal rifle of insurgents, freedom fighters, and terrorists across the globe.","""Start your own reign of terror."""
"7","TSD","http://units.systems/tsd/medicinal-charcoal/","medicinal-charcoal","MEDICINAL CHARCOAL","Surv","Mainly used for purification and highly recommended to treat poisoning and overdoses. The microporosity of the material is unsurpassed in terms of absorption.","""Good for what ails you."""
"8","TSD","http://units.systems/tsd/army-boots/","army-boots","ARMY BOOTS","Armor","Military style boots honed for foot protection. Perfect for a variety of climates. They may seem clumsy, but the sore truth is that they always come out on top.","""These boots are made for walking."""
"9","TSD","http://units.systems/tsd/backpack/","backpack","BACKPACK","Armor","Modern man found ergonomic ways to store items. These carry their weight in gold.","""Carry more with less effort."""
"10","TSD","http://units.systems/tsd/red-leather-jacket/","red-leather-jacket","RED LEATHER JACKET","Armor","Candy apple red might not be the best camo, but you'll thrill them as you kill them.","""King of the killing floor."""
"11","TSD","http://units.systems/tsd/ski-helmet/","ski-helmet","SKI HELMET","Armor","Some helmets makes you look good, others make you look like a fool. This is the pretty non-bulletproof version.","""Protects the thinker."""
"12","TSD","http://units.systems/tsd/combat-knife/","combat-knife","COMBAT KNIFE","Weap","Rumor has it that really good steel comes from Sweden. Well honed, this knife will cut through just about anything.","""Now, THIS is a knife."""
"13","TSD","http://units.systems/tsd/small-box-of-ammo/","small-box-of-ammo","SMALL BOX OF AMMO","Weap","Manufactured precision-made ammunition, stable and able. The best choice for your weapons.","""Food for Guns!"""
"14","TSD","http://units.systems/tsd/shoulder-armor/","shoulder-armor","SHOULDER ARMOR","Armor","Both protection and enhancement in one. Makes you look beefed up and adds good protection against any blunt violence.","""The slender becomes the wider."""
"15","TSD","http://units.systems/tsd/life-jacket/","life-jacket","LIFE JACKET","Armor","Designed to hold a person's head above water and signal attention with bright color. These well-crafted padded jackets can withstand a punch or two. Keeps you bobbing up most unexpectedly.","""Low profile ain't your thing."""
"16","TSD","http://units.systems/tsd/gas-can/","gas-can","GAS CAN","Surv","Key ingredient for most motorized vehicles, highly flammable and invaluable in the production of improvised incendiary weapons.","""Alluring fumes that'll go to your head."""
"17","TSD","http://units.systems/tsd/spray-cans/","spray-cans","SPRAY CANS","Surv","Color the world around you or inhale it to see perhaps even greater colors. Unknown duration.","""Put some more color into this world."""
"18","TSD","http://units.systems/tsd/shovel/","shovel","SHOVEL","Surv","A basic tool refined with enhanced functionality. Can provide shelter, food, escape or discoveries.","""Dig in."""
"19","TSD","http://units.systems/tsd/dynamite/","dynamite","DYNAMITE","Weap","Well rolled rods that, despite their size, will make quite an impression.","""Do they look sweaty!?"""
"20","TSD","http://units.systems/tsd/small-stash/","small-stash","SMALL STASH","Quest","The alluring glow to the little pile of valuables gives you a happy feeling. Someone’s been collecting. Now, it’s yours to cash in.","""Look, a rubber band!"""
"21","TSD","http://units.systems/tsd/harpoon-gun/","harpoon-gun","HARPOON GUN","Weap","Quieter than most projectile weapons and more powerful than a sling shot. Works on land and in water. These are rarely found unmodified.","""Not just for for whaling, anymore."""
